"","Number","RCO2","BDCO2","RH2O","BDH2O"
"127",126,0.988723947255957,-0.0301868353885478,1.04485914868023,-0.0448591486802337
"128",127,0.987704804004645,-0.02893838490569,1.03832528785302,-0.0383252878530151
"129",128,0.980511917428839,-0.0201270988503277,1.03898831325088,-0.0389883132508821
"130",129,0.977648438652105,-0.0166193373488284,1.02276214763857,-0.0227621476385651
"131",130,0.983220904530055,-0.0234456080493169,1.02299274075981,-0.0229927407598083
"132",131,0.979564169145919,-0.0189661072037507,1.02017135416112,-0.020171354161117
"133",132,0.991312600618709,-0.0333579357579189,1.03129953332141,-0.0312995333214077
"134",133,0.985832016823749,-0.0266442206090922,1.0332891380687,-0.0332891380686984
"135",134,0.992185181689989,-0.0344268475702362,1.02128121008252,-0.021281210082523
"136",135,0.980515388082195,-0.0201313504006886,1.06264607737377,-0.0626460773737652
"137",136,0.989685527938486,-0.0313647717246452,1.03699324362021,-0.0369932436202083
"138",137,0.981871586407076,-0.0217926933486683,1.04561576937741,-0.0456157693774062
"139",138,0.98551530621886,-0.0262562501181033,1.02804288375394,-0.0280428837539437
"140",139,0.973387105392591,-0.0113992041059234,1.02561563351064,-0.0256156335106421
"141",140,0.98388520496839,-0.0242593760862781,1.04558111426134,-0.0455811142613429
"142",141,0.979719121546956,-0.0191559238950214,1.04060368524157,-0.0406036852415663
"143",142,0.974179401086528,-0.0123697663309964,1.03603080059159,-0.0360308005915908
"144",143,0.991626361326896,-0.0337422926254481,1.02173433090496,-0.0217343309049578
"145",144,0.989558589929202,-0.031209272663273,1.02828381846237,-0.028283818462369
